company,sentiment
ADANIENT.NS,-0.999853099953977
ADANIPORTS.NS,0.25133255649729047
APOLLOHOSP.NS,-0.9994957567083174
ASIANPAINT.NS,-0.9985732990180207
AXISBANK.NS,0.744591806689796
BAJAJ-AUTO.NS,-0.9822586631619985
BAJFINANCE.NS,-0.9998689442325813
BAJAJFINSV.NS,-0.9977643032365542
BPCL.NS,-0.9804271313828037
BHARTIARTL.NS,-0.9970377017207179
BRITANNIA.NS,-0.37690490766457896
CIPLA.NS,-0.9928699501011683
COALINDIA.NS,-0.21455724762452055
DIVISLAB.NS,-0.9844547497525947
DRREDDY.NS,-0.9796158526096118
EICHERMOT.NS,-0.9987673975728254
GRASIM.NS,-0.9922163913064506
HCLTECH.NS,-0.2916576262443079
HDFCBANK.NS,-0.9941348824663343
HDFCLIFE.NS,-0.9944196493579861
HEROMOTOCO.NS,-0.7241335715813199
HINDALCO.NS,-0.0004389990008774828
HINDUNILVR.NS,0.18033240972371392
ICICIBANK.NS,-0.32922113573299194
ITC.NS,0.3310200004788072
INDUSINDBK.NS,0.9811132560528343
INFY.NS,0.745841748663918
JSWSTEEL.NS,-0.9750240910419873
JIOFIN.NS,0.9999999923619257
KOTAKBANK.NS,-0.9143094689887885
LTIM.NS,-0.17868700614360783
LT.NS,-0.30105615584356643
M&M.NS,-0.9986450175588888
MARUTI.NS,-0.25970837949586933
NTPC.NS,0.9599916444692127
NESTLEIND.NS,-0.6586669807958503
ONGC.NS,0.23754410811660812
POWERGRID.NS,0.638597673207268
RELIANCE.NS,0.356895820997317
SBILIFE.NS,-0.4386083198931065
SBIN.NS,0.7598886872024206
SUNPHARMA.NS,-0.6935780682327236
TCS.NS,-0.6642319430222684
TATACONSUM.NS,0.2956077183384701
TATAMOTORS.NS,0.3548003020489063
TATASTEEL.NS,-0.7957753561818731
TECHM.NS,-0.9391771246551645
TITAN.NS,-0.9602422332485226
UPL.NS,-0.9994425040595709
ULTRACEMCO.NS,-0.33164707213257244
WIPRO.NS,-0.12724273779904977
